,index,Chainage,tnd_ot,tnd_hdd,hdd,drt,drt_duct_dam,dit,dit_duct_miss,blow
435,635,435,False,False,False,False,False,True,False,True
436,636,436,False,False,False,False,False,True,False,True
437,637,437,False,False,False,False,False,True,False,True
438,638,438,False,False,False,False,False,True,False,True
439,639,439,False,False,False,False,False,True,False,True
440,640,440,False,False,False,False,False,True,False,True
441,641,441,False,False,False,True,False,True,False,True
442,642,442,False,False,False,True,False,True,False,True
443,643,443,False,False,False,True,False,True,False,True
444,644,444,False,False,False,True,False,True,False,True
445,645,445,False,False,False,True,False,True,False,True
446,646,446,False,False,False,True,False,True,False,True
447,647,447,False,False,False,True,False,True,False,True
448,648,448,False,False,False,True,False,True,False,True
449,649,449,False,False,False,True,False,True,False,True
450,650,450,False,False,False,True,False,True,False,True
451,651,451,False,False,False,True,False,True,False,True
452,652,452,False,False,False,True,False,True,False,True
453,653,453,False,False,False,True,False,True,False,True
454,654,454,False,False,False,True,False,True,False,True
455,655,455,False,False,False,True,False,True,False,True
456,656,456,False,False,False,True,False,True,False,True
457,657,457,False,False,False,True,False,True,False,True
458,658,458,False,False,False,True,False,True,False,True
459,659,459,False,False,False,True,False,True,False,True
460,660,460,False,False,False,True,False,True,False,True
461,661,461,False,False,False,True,False,True,False,True
462,662,462,False,False,False,True,False,True,False,True
463,663,463,False,False,False,True,False,True,False,True
464,664,464,False,False,False,True,False,True,False,True
465,665,465,False,False,False,True,False,True,False,True
466,666,466,False,False,False,True,False,True,False,True
467,667,467,False,False,False,True,False,True,False,True
468,668,468,False,False,False,True,False,True,False,True
469,669,469,False,False,False,True,False,True,False,True
470,670,470,False,False,False,True,False,True,False,True
471,671,471,False,False,False,True,False,True,False,True
472,672,472,False,False,False,True,False,True,False,True
473,673,473,False,False,False,True,False,True,False,True
474,674,474,False,False,False,True,False,True,False,True
475,675,475,False,False,False,True,False,True,False,True
476,676,476,False,False,False,True,False,True,False,True
477,677,477,False,False,False,True,False,True,False,True
478,678,478,False,False,False,True,False,True,False,True
479,679,479,False,False,False,True,False,True,False,True
480,680,480,False,False,False,True,False,True,False,True
481,681,481,False,False,False,True,False,True,False,True
482,682,482,False,False,False,True,False,True,False,True
483,683,483,False,False,False,True,False,True,False,True
484,684,484,False,False,False,True,False,True,False,True
485,685,485,False,False,False,True,False,True,False,True
486,686,486,False,False,False,True,False,True,False,True
487,687,487,False,False,False,True,False,True,False,True
488,688,488,False,False,False,True,False,True,False,True
489,689,489,False,False,False,True,False,True,False,True
490,690,490,False,False,False,True,False,True,False,True
491,691,491,False,False,False,True,False,True,False,True
492,692,492,False,False,False,True,False,True,False,True
493,693,493,False,False,False,True,False,True,False,True
494,694,494,False,False,False,True,False,True,False,True
495,695,495,False,False,False,True,False,True,False,True
496,696,496,False,False,False,True,False,True,False,True
497,697,497,False,False,False,True,False,True,False,True
498,698,498,False,False,False,True,False,True,False,True
499,699,499,False,False,False,True,False,True,False,True
500,700,500,False,False,False,True,False,True,False,True
501,701,501,False,False,False,True,False,True,False,True
502,702,502,False,False,False,True,False,True,False,True
503,703,503,False,False,False,True,False,True,False,True
504,704,504,False,False,False,True,False,True,False,True
505,705,505,False,False,False,True,False,True,False,True
506,706,506,False,False,False,True,False,True,False,True
507,707,507,False,False,False,True,False,True,False,True
508,708,508,False,False,False,True,False,True,False,True
509,709,509,False,False,False,True,False,True,False,True
510,710,510,False,False,False,True,False,True,False,True
511,711,511,False,False,False,True,False,True,False,True
512,712,512,False,False,False,True,False,True,False,True
513,713,513,False,False,False,True,False,True,False,True
514,714,514,False,False,False,True,False,True,False,True
515,715,515,False,False,False,True,False,True,False,True
516,716,516,False,False,False,True,False,True,False,True
517,717,517,False,False,False,True,False,True,False,True
518,718,518,False,False,False,True,False,True,False,True
519,719,519,False,False,False,True,False,True,False,True
520,720,520,False,False,False,True,False,True,False,True
521,721,521,False,False,False,True,False,True,False,True
522,722,522,False,False,False,True,False,True,False,True
523,723,523,False,False,False,True,False,True,False,True
524,724,524,False,False,False,True,False,True,False,True
525,725,525,False,False,False,True,False,True,False,True
526,726,526,False,False,False,True,False,True,False,True
527,727,527,False,False,False,True,False,True,False,True
528,728,528,False,False,False,True,False,True,False,True
529,729,529,False,False,False,True,False,True,False,True
530,730,530,False,False,False,True,False,True,False,True
531,731,531,False,False,False,False,False,True,False,True
532,732,532,False,False,False,False,False,True,False,True
533,733,533,False,False,False,False,False,True,False,True
534,734,534,False,False,False,False,False,True,False,True
535,735,535,False,False,False,False,False,True,False,True
536,736,536,False,False,False,False,False,True,False,True
537,737,537,False,False,False,False,False,True,False,True
538,738,538,False,False,False,False,False,True,False,True
539,739,539,False,False,False,False,False,True,False,True
540,740,540,False,False,False,False,False,True,False,True
541,741,541,False,False,False,False,False,True,False,True
542,742,542,False,False,False,False,False,True,False,True
543,743,543,False,False,False,False,False,True,False,True
544,744,544,False,False,False,False,False,True,False,True
545,745,545,False,False,False,False,False,True,False,True
546,746,546,False,False,False,False,False,True,False,True
547,747,547,False,False,False,False,False,True,False,True
548,748,548,False,False,False,False,False,True,False,True
549,749,549,False,False,False,False,False,True,False,True
550,750,550,False,False,False,False,False,True,False,True
551,751,551,False,False,False,False,False,True,False,True
552,752,552,False,False,False,False,False,True,False,True
553,753,553,False,False,False,False,False,True,False,True
554,754,554,False,False,False,False,False,True,False,True
555,755,555,False,False,False,False,False,True,False,True
556,756,556,False,False,False,False,False,True,False,True
557,757,557,False,False,False,False,False,True,False,True
558,758,558,False,False,False,False,False,True,False,True
559,759,559,False,False,False,False,False,True,False,True
560,760,560,False,False,False,False,False,True,False,True
561,761,561,False,False,False,False,False,True,False,True
562,762,562,False,False,False,False,False,True,False,True
563,763,563,False,False,False,False,False,True,False,True
564,764,564,False,False,False,False,False,True,False,True
565,765,565,False,False,False,False,False,True,False,True
566,766,566,False,False,False,False,False,True,False,True
567,767,567,False,False,False,False,False,True,False,True
568,768,568,False,False,False,False,False,True,False,True
569,769,569,False,False,False,False,False,True,False,True
570,770,570,False,False,False,False,False,True,False,True
571,771,571,False,False,False,False,False,True,False,True
572,772,572,False,False,False,False,False,True,False,True
573,773,573,False,False,False,False,False,True,False,True
574,774,574,False,False,False,False,False,True,False,True
575,775,575,False,False,False,False,False,True,False,True
576,776,576,False,False,False,False,False,True,False,True
577,777,577,False,False,False,False,False,True,False,True
578,778,578,False,False,False,False,False,True,False,True
579,779,579,False,False,False,False,False,True,False,True
580,780,580,False,False,False,True,False,True,False,True
581,781,581,False,False,False,True,False,True,False,True
582,782,582,False,False,False,True,False,True,False,True
583,783,583,False,False,False,True,False,True,False,True
584,784,584,False,False,False,True,False,True,False,True
585,785,585,False,False,False,True,False,True,False,True
586,786,586,False,False,False,True,False,True,False,True
587,787,587,False,False,False,True,False,True,False,True
588,788,588,False,False,False,True,False,True,False,True
589,789,589,False,False,False,True,False,True,False,True
590,790,590,False,False,False,True,False,True,False,True
591,791,591,False,False,False,True,False,True,False,True
592,792,592,False,False,False,True,False,True,False,True
593,793,593,False,False,False,True,False,True,False,True
594,794,594,False,False,False,True,False,True,False,True
595,795,595,False,False,False,True,False,True,False,True
596,796,596,False,False,False,True,False,True,False,True
597,797,597,False,False,False,True,False,True,False,True
598,798,598,False,False,False,True,False,True,False,True
599,799,599,False,False,False,True,False,True,False,True
600,800,600,False,False,False,True,False,True,False,True
601,801,601,False,False,False,True,False,True,False,True
602,802,602,False,False,False,True,False,True,False,True
603,803,603,False,False,False,True,False,True,False,True
604,804,604,False,False,False,True,False,True,False,True
605,805,605,False,False,False,True,False,True,False,True
606,806,606,False,False,False,True,False,True,False,True
607,807,607,False,False,False,True,False,True,False,True
608,808,608,False,False,False,True,False,True,False,True
609,809,609,False,False,False,True,False,True,False,True
610,810,610,False,False,False,True,False,True,False,True
611,811,611,False,False,False,True,False,True,False,True
612,812,612,False,False,False,True,False,True,False,True
613,813,613,False,False,False,True,False,True,False,True
614,814,614,False,False,False,True,False,True,False,True
615,815,615,False,False,False,True,False,True,False,True
616,816,616,False,False,False,True,False,True,False,True
617,817,617,False,False,False,True,False,True,False,True
618,818,618,False,False,False,True,False,True,False,True
619,819,619,False,False,False,True,False,True,False,True
620,820,620,False,False,False,True,False,True,False,True
621,821,621,False,False,False,True,False,True,False,True
622,822,622,False,False,False,True,False,True,False,True
623,823,623,False,False,False,True,False,True,False,True
624,824,624,False,False,False,True,False,True,False,True
625,825,625,False,False,False,True,False,True,False,True
